timestamp,size
36374.513,300
36374.573,500
36375.264,500
36375.483,500
36375.66,1000
36376.485,200
36376.501,100
36376.511,100
36377.232,100
36384.551,1000
36384.827,1000
36387.667,200
36391.435,500
36399.14,1000
36403.502,1000
36403.66,100
36405.535,14000
36405.812,800
36412.143,2000
36412.507,1000
36414.531,200
36416.895,100
36419.751,200
36425.935,200
36426.742,93200
36426.85,1900
36429.901,7300
36431.873,100
36432.574,600
36435.11,22700
36435.893,17100
36435.898,2000
36435.899,17100
36437.592,100
36441.976,10000
36444.653,900
36448.154,14600
36448.988,36300
36449.698,700
36449.769,100
36451.607,5000
36455.441,1000
36460.127,10000
36461.425,1000
36462.21,1000
36465.081,100
36466.921,1000
36467.46,1000
36469.845,100
36469.97,100
36474.581,100
36482.076,54000
36482.441,2500
36483.059,2000
36484.156,4600
36485.838,8000
36489.98,1000
36492.388,300
36493.034,10000
36493.985,5000
36494.104,1000
36497.067,300
36502.398,11000
36508.56,1000
36524.534,1100
36531.654,400
36534.787,1000
36540.182,200
36543.023,100
36545.314,1100
36545.424,3700
36546.641,1200
36547.294,1000
36556.836,1000
36558.484,500
36561.925,2100
36561.927,6500
36566.161,1100
36567.812,100
36574.845,5000
36587.15,600
36596.152,3000
36598.189,22900
36599.703,600
36600.174,7400
36603.144,1000
36605.35,300
36608.698,1100
36621.661,1000
36629.351,1100
36631.534,300
36634.023,1000
36637.687,200
36644.077,33000
36650.527,1100
36659.419,1000
36660.009,1000
36664.514,1000
36671.855,1100
36677.076,1800
36677.077,2100
36677.078,10900
36677.079,10500
36677.08,1100
36677.081,3100
36677.082,1000
36683.181,1000
36690.225,100
36690.392,100
36694.175,600
36695.11,600
36699.43,100
36701.318,100
36703.322,1100
36703.348,100
36711.382,200
36715.341,200
36715.668,400
36719.029,2000
36721.699,9200
36724.29,500
36727.764,600
36728.811,200
36734.146,3000
36735.691,500
36736.237,1100
36736.639,10000
36736.641,5200
36753.194,200
36755.354,31800
36758.103,600
36761.409,1000
36761.657,500
36761.659,7200
36764.674,13100
36764.69,100
36766.197,8000
36766.199,43600
36768.593,6500
36769.008,100
36770.132,100
36770.527,600
36773.893,200
36776.605,3000
36777.957,600
36778.456,200
36779.133,1100
36783.077,2000
36783.191,400
36784.797,18200
36784.806,2000
36785.017,100
36789.341,5700
36789.572,3600
36790.454,500
36791.777,100
36792.68,4200
36793.732,600
36794.715,2000
36795.047,3000
36801.41,600
36803.649,400
36807.531,700
36808.486,62900
36808.507,1000
36808.508,1000
36808.509,400
36808.51,200
36808.511,1300
36808.521,100
36808.524,200
36808.634,2000
36808.636,2500
36808.67,800
36808.69,300
36808.797,700
36809.984,2000
36811.684,500
36812.328,19700
36812.73,1000
36814.456,100
36814.466,600
36815.037,1000
36815.041,3100
36815.042,11300
36815.045,41300
36820.141,100
36820.628,900
36823.622,11200
36823.781,100
36825.069,20000
36825.179,81500
36825.209,200
36825.212,100
36827.871,300
36828.472,200
36828.636,500
36829.346,50000
36831.34,500
36834.85,700
36835.485,24500
36836.148,100
36836.434,100
36836.514,100
36840.325,2000
36841.772,500
36842.464,100
36843.591,300
36844.141,1100
36844.451,100
36845.769,100
36846.501,500
36846.631,200
36846.924,1000
36847.863,1000
36848.348,100
36851.212,500
36853.571,1500
36859.375,100
36860.212,100
36861.356,3000
36863.0,1200
36864.633,100
36864.924,1100
36866.903,100
36871.988,43500
36881.873,300
36881.893,100
36887.479,600
36892.492,500
36897.947,100
36898.023,900
36899.729,600
36901.93,500
36902.763,200
36902.802,4000
36904.58,16000
36906.513,300
36906.986,100
36908.115,1100
36913.765,2000
36923.505,200
36927.585,300
36928.351,1100
36929.183,7700
36929.292,31700
36932.709,100
36933.865,100
36938.674,2200
36938.677,2200
36938.679,2200
36938.681,7200
36938.682,2200
36938.688,2200
36938.689,2200
36941.456,500
36943.434,200
36947.551,100
36948.842,100
36949.547,100
36954.009,600
36954.855,200
36955.276,1000
36957.322,100
36961.44,500
36962.159,600
36966.126,1800
36968.331,100
36974.323,1000
36975.24,600
36979.389,1000
36979.486,10000
36979.648,200
36986.459,100
36994.309,200
36994.618,500
37003.523,2800
37008.555,600
37009.22,100
37010.305,500
37012.334,33000
37012.337,9100
37013.234,100
37017.272,600
37030.291,600
37034.56,1000
37037.853,300
37039.083,100
37040.457,3000
37045.496,100
37049.778,400
37054.932,600
37056.355,1100
37057.885,1000
37058.28,1000
37061.331,5300
37062.363,5000
37065.185,100
37067.734,200
37068.094,200
37072.086,300
37080.299,1100
37086.838,400
37090.327,1000
37093.248,100
37095.254,9200
37101.866,1100
37103.203,200
37112.523,200
37112.919,200
37113.326,3000
37117.548,25000
37117.551,5200
37117.558,2300
37125.512,100
37128.78,100
37140.277,200
37141.581,100
37145.275,1000
37145.326,600
37153.781,1100
37154.664,3000
37162.959,500
37166.521,1000
37167.695,100
37172.913,200
37176.117,1100
37185.091,7400
37187.695,100
37191.29,100
37194.151,100
37195.806,600
37197.412,600
37209.577,600
37220.835,100
37221.747,600
37221.923,200
37223.14,15000
37223.142,2700
37223.155,1800
37223.181,15200
37223.434,300
37223.449,900
37223.451,100
37223.923,100
37230.115,1100
37241.874,200
37243.565,500
37249.091,500
37251.465,1100
37257.413,8000
37257.983,500
37265.008,300
37271.166,500
37272.483,1100
37278.047,4400
37287.111,200
37288.276,100
37291.766,500
37292.177,5200
37292.179,16100
37292.18,2300
37292.181,6000
37293.377,600
37295.029,100
37296.071,300
37296.081,400
37296.082,300
37296.151,500
37301.051,2100
37301.053,18600
37301.072,300
37301.273,100
37301.345,100
37305.471,600
37317.465,600
37324.204,1000
37324.272,300
37324.828,400
37330.181,600
37331.141,600
37332.575,700
37334.064,8900
37335.125,10000
37335.226,7200
37335.23,2200
37335.237,2200
37338.707,1100
37349.067,25000
37357.47,900
37360.565,600
37368.668,500
37372.716,1100
37372.727,600
37378.53,100
37381.26,4000
37385.221,600
37393.338,1100
37413.122,100
37414.156,1100
37433.682,100
37434.194,100
37436.093,600
37441.253,100
37446.55,500
37448.341,600
37456.495,1100
37465.112,300
37468.228,1000
37476.52,200
37478.823,1100
37484.995,20000
37484.999,4000
37490.291,20000
37490.366,1800
37490.367,100
37490.369,1800
37497.032,2500
37498.658,1100
37511.203,2300
37519.649,1100
37524.357,200
37533.882,300
37540.281,1100
37543.872,200
37546.611,1000
37547.039,300
37549.06,100
37549.872,500
37552.181,100
37561.823,1100
37566.789,8000
37572.57,500
37574.041,9300
37583.929,400
37583.959,600
37595.967,600
37596.516,1000
37603.249,1000
37604.231,2000
37604.241,1100
37618.449,500
37626.807,400
37628.197,100
37629.302,600
37637.418,1200
37637.427,1100
37648.209,1000
37650.577,200
37650.611,1000
37650.737,200
37650.739,100
37655.342,1000
37655.446,200
37658.527,1100
37660.429,100
37665.941,200
37666.38,4000
37669.457,32800
37669.46,6200
37669.615,100
37670.03,2000
37670.57,1800
37670.575,100
37679.876,1100
37681.306,3600
37684.919,100
37690.921,500
37698.126,1500
37699.901,1700
37701.644,600
37702.824,100
37702.934,100
37714.072,600
37715.353,100
37716.291,500
37717.04,100
37719.55,1000
37719.684,1500
37720.344,100
37720.968,400
37723.046,600
37723.942,50000
37723.948,1800
37723.949,100
37723.95,11100
37728.855,200
37729.044,24800
37729.046,1600
37735.298,500
37736.23,600
37741.175,500
37745.287,1000
37745.297,100
37755.569,2100
37766.17,1100
37772.432,200
37772.595,1000
37775.901,5000
37779.785,2800
37787.295,600
37793.233,2000
37793.326,100
37797.681,100
37797.872,100
37799.368,600
37802.309,15000
37802.311,5200
37802.314,13900
37802.315,9200
37802.316,1200
37803.748,100
37805.205,5000
37806.98,400
37811.663,600
37814.916,100
37814.937,4700
37815.512,600
37823.725,600
37831.95,1100
37834.42,1000
37838.616,1000
37841.757,100
37851.382,300
37852.209,1100
37859.376,100
37870.651,1200
37873.395,2000
37876.435,600
37884.002,2000
37884.516,1100
37889.182,26500
37889.185,6800
37889.196,5200
37889.198,2100
37889.2,7000
37891.25,2100
37891.252,2500
37891.253,2100
37901.916,1000
37908.81,600
37909.586,400
37909.59,100
37917.307,1100
37921.143,300
37924.811,100
37930.851,700
37931.705,100
37936.099,1800
37939.124,600
37941.138,100
37941.218,600
37943.244,4100
37943.245,3300
37949.235,1100
37949.361,6300
37951.876,200
37952.039,100
37952.13,100
37952.397,100
37969.557,1100
37973.853,500
37975.023,4600
37975.024,1400
37982.302,800
37983.463,1000
37993.287,500
37993.289,200
37993.29,500
37993.984,600
38002.302,1100
38005.357,100
38008.809,900
38008.811,2700
38008.814,500
38012.259,100
38018.586,100
38022.599,1100
38027.8,3500
38043.492,1100
38049.593,10000
38049.595,1200
38049.712,100
38054.896,100
38055.211,700
38055.212,800
38055.213,6000
38055.214,11100
38055.215,11900
38055.216,1800
38055.217,200
38055.219,800
38056.459,2700
38056.46,1100
38056.462,1800
38056.464,2200
38056.465,1800
38056.475,100
38056.48,1700
38056.481,2000
38056.49,2200
38056.494,2200
38056.503,1300
38056.512,500
38056.618,100
38056.838,400
38057.497,200
38057.738,100
38057.821,300
38058.161,700
38058.162,1800
38058.164,1700
38064.824,400
38067.687,600
38072.213,500
38074.245,1000
38079.996,8000
38081.69,1000
38091.645,5000
38092.096,100
38096.354,1100
38098.749,200
38120.698,600
38125.106,500
38128.714,1100
38128.983,100
38130.775,200
38138.473,1000
38138.507,100
38145.451,19000
38147.179,100
38150.449,10400
38150.45,300
38150.451,1800
38150.452,8000
38153.409,600
38160.993,1100
38160.994,1300
38160.995,2800
38176.854,4900
38176.855,5000
38176.858,500
38185.835,600
38187.177,1100
38188.957,700
38191.966,5200
38191.968,6200
38191.971,3400
38194.108,600
38206.698,600
38218.873,600
38223.466,7600
38224.097,200
38225.461,500
38226.468,200
38230.963,600
38239.101,1100
38239.216,1000
38239.227,1800
38239.23,400
38245.257,100
38246.999,16200
38250.136,400
38251.409,5200
38251.412,800
38258.226,200
38258.251,3000
38258.254,1800
38258.257,1800
38258.259,1000
38259.443,100
38260.234,300
38263.248,600
38267.465,1100
38275.336,600
38284.199,600
38289.262,16000
38289.298,100
38293.83,100
38293.937,100
38294.054,9300
38294.058,1800
38294.168,1800
38295.923,5000
38295.928,600
38296.138,1200
38307.845,600
38309.024,2600
38309.026,400
38309.029,3700
38315.938,1100
38323.813,500
38324.019,2500
38329.33,2000
38333.579,11600
38333.74,1000
38333.762,200
38333.784,3000
38333.787,2200
38333.812,2200
38333.814,2200
38334.195,200
38334.333,100
38336.676,1100
38341.303,2000
38360.361,600
38361.693,300
38368.779,1100
38373.217,200
38374.008,100
38375.658,100
38380.086,9100
38380.221,200
38381.949,500
38385.413,1000
38389.735,1100
38390.344,100
38390.916,10000
38392.431,2300
38399.678,100
38399.738,500
38411.334,100
38412.015,200
38412.649,200
38412.997,500
38413.598,600
38414.048,8600
38418.347,200
38418.355,200
38418.432,400
38419.432,600
38422.135,1100
38431.242,100
38431.67,1000
38435.15,4000
38440.843,15000
38442.272,300
38444.347,100
38446.67,600
38448.913,3500
38451.157,600
38452.207,200
38454.28,500
38454.99,1100
38461.252,100
38464.562,100
38464.566,100
38464.57,100
38464.958,900
38468.183,3000
38469.438,100
38479.168,600
38479.177,100
38482.865,2000
38487.823,1100
38490.766,100
38494.351,200
38515.099,100
38520.064,200
38528.668,1100
38529.597,100
38532.358,17100
38534.237,14200
38534.239,11300
38534.251,800
38537.893,2000
38543.138,100
38549.321,1100
38552.097,3100
38553.071,300
38558.349,100
38569.549,1100
38576.057,4200
38577.623,1000
