timestamp,size
36360.027,1300
36360.036,3200
36360.037,100
36360.044,1200
36360.048,13600
36360.945,600
36361.01,500
36365.243,8300
36365.484,9800
36365.77,300
36366.123,300
36366.695,2600
36367.123,200
36392.501,100
36395.404,3400
36407.165,1500
36407.926,1000
36408.641,100
36410.17,300
36410.501,3600
36410.504,1400
36410.657,100
36415.939,80000
36416.338,5300
36416.846,300
36421.273,7300
36421.34,300
36421.342,4200
36421.441,25900
36421.47,2200
36425.898,100
36429.837,1000
36432.945,200
36435.194,3000
36435.701,3000
36436.151,1000
36437.386,1800
36452.665,1200
36454.805,1000
36464.643,400
36473.811,1500
36481.481,11000
36481.681,1000
36488.407,3600
36498.962,100
36501.117,2000
36508.755,1200
36514.562,200
36518.48,16000
36537.694,100
36548.709,1900
36548.981,4000
36549.144,500
36550.389,400
36552.137,3000
36552.314,700
36556.039,500
36557.337,800
36560.352,2000
36560.521,700
36560.98,400
36561.148,200
36572.935,14300
36577.386,1000
36586.814,300
36593.815,100
36595.815,200
36596.815,100
36598.344,4000
36598.815,1200
36601.685,1000
36601.748,2600
36602.089,2000
36602.17,1000
36602.816,2500
36604.906,200
36615.261,1000
36618.533,300
36621.932,800
36621.933,700
36621.934,2300
36625.899,200
36637.619,2800
36637.818,4100
36639.52,300
36692.262,31600
36694.407,1200
36706.986,12600
36708.988,200
36713.021,600
36731.387,29400
36768.055,200
36800.16,1000
36800.171,3000
36808.512,4000
36815.831,2100
36867.897,8000
36867.901,2000
36867.905,1100
36871.747,15100
36872.068,1300
36876.886,100
36876.89,500
36883.126,100
36883.464,4000
36888.453,2000
36893.998,300
36897.828,500
36902.082,1100
36902.692,1800
36902.909,200
36906.879,100
36919.312,100
36921.533,200
36921.84,8600
36922.839,12100
36923.839,13800
36928.84,100
36930.84,500
36931.84,200
36932.84,100
36933.84,100
36934.84,100
36935.966,700
36940.837,800
36940.839,400
36941.841,5900
36946.007,400
36951.841,3300
36952.119,400
36960.315,1200
36980.215,500
36988.051,900
36988.054,1100
36988.055,16600
36988.059,900
36988.961,5500
36989.845,8400
36989.85,2000
36991.375,2000
36991.381,7600
36991.383,5100
36991.386,5000
36991.387,200
36991.389,3000
36991.39,4700
36992.291,100
36993.227,2000
36993.676,2000
36993.68,2000
36995.245,2000
36999.395,3200
37000.411,1300
37011.133,100
37011.136,100
37011.242,7600
37013.583,200
37021.014,300
37022.676,500
37035.061,200
37040.662,600
37043.224,100
37060.381,1200
37072.811,1000
37077.674,1200
37077.676,5200
37077.677,200
37080.003,800
37099.381,3700
37100.252,600
37113.65,5000
37120.349,300
37138.273,500
