timestamp,size
36488.395,100
36492.689,900
36492.778,200
36492.969,900
36494.092,1000
36499.241,10000
36500.871,100
36504.417,1300
36508.09,2100
36521.607,200
36531.199,4700
36536.114,3000
36539.863,3300
36539.867,900
36539.868,900
36539.871,1500
36539.874,1300
36539.989,600
36539.991,1000
36540.032,900
36540.044,1300
36540.123,300
36540.352,1300
36540.556,3000
36540.636,100
36540.874,900
36541.139,900
36541.285,200
36541.9,3000
36544.406,100
36548.776,3000
36551.123,1000
36552.732,100
36560.099,100
36560.652,900
36562.759,100
36563.271,100
36567.321,100
36570.551,200
36571.057,200
36574.734,100
36576.824,3000
36577.631,900
36577.99,1100
36578.155,2400
36579.063,300
36582.91,100
36586.043,3000
36586.599,900
36586.964,100
36588.075,200
36590.087,100
36591.543,300
36594.326,100
36597.099,300
36599.697,100
36608.242,300
36613.26,100
36615.272,200
36615.549,1000
36617.447,200
36618.782,3000
36624.619,1300
36625.259,200
36626.382,1300
36627.203,3000
36631.958,1300
36633.233,900
36633.235,3000
36633.418,200
36635.429,100
36636.163,1500
36638.241,100
36638.547,1300
36643.503,7500
36644.003,400
36645.373,200
36646.332,1100
36646.337,2600
36646.338,1300
36646.344,3000
36646.527,200
36647.406,5000
36647.515,3000
36647.516,1300
36648.416,1100
36649.011,1100
36649.032,100
36649.034,1300
36649.042,2600
36649.046,500
36649.051,1100
36649.061,1300
36649.071,900
36649.176,100
36649.783,1100
36649.792,2700
36649.793,1300
36650.164,300
36650.756,800
36651.108,1400
36651.163,100
36651.223,900
36651.283,600
36651.284,500
36651.541,1000
36652.175,200
36654.188,100
36655.2,200
36664.43,100
36664.91,600
36665.078,100
36666.083,200
36666.984,3000
36667.09,200
36669.973,100
36672.987,100
36678.903,100
36682.734,3000
36682.743,600
36683.19,300
36686.786,400
36687.339,100
36689.033,500
36689.099,100
36692.116,200
36696.205,1000
36699.119,1100
36704.05,100
36704.166,1300
36705.252,1100
36705.764,100
36705.951,7500
36706.443,1000
36706.774,100
36707.785,100
36708.797,100
36714.108,1800
36717.017,400
36717.494,3000
36717.495,1300
36717.528,400
36718.213,300
36725.035,100
36726.049,100
36728.063,100
36730.578,100
36756.428,3000
36757.832,2600
36758.344,100
36764.161,100
36767.341,100
36771.516,300
36784.206,900
36784.684,100
36790.27,300
36790.682,3000
36793.812,100
36795.167,300
36795.323,200
36796.012,3500
36806.3,100
36807.113,100
36819.386,300
36821.317,50000
36837.531,3000
36837.572,100
36850.481,3000
36857.103,100
36857.719,100
36861.636,100
36861.843,1500
36862.299,300
36863.106,100
36864.021,300
36864.594,5000
36871.205,400
36873.743,100
36875.474,400
36875.949,3500
36875.95,7500
36875.977,800
36879.268,500
36881.939,100
36884.36,1000
36893.868,300
36896.304,1000
36898.797,100
36905.331,2000
36910.075,1700
36915.411,100
36916.431,200
36917.442,100
36923.414,700
36924.94,2200
36943.415,300
36956.816,300
36957.811,100
36958.289,2500
36958.322,600
36958.833,100
36966.309,1000
36973.801,2100
36973.852,1300
36974.069,100
