timestamp,size
36484.396,3000
36484.486,700
36484.803,100
36484.804,3700
36485.439,100
36486.728,100
36487.132,500
36487.749,100
36487.837,200
36489.215,900
36489.218,3000
36489.443,700
36489.585,900
36489.588,3000
36492.786,900
36494.683,300
36495.289,900
36498.395,30000
36500.666,100
36502.846,100
36516.728,2000
36519.736,900
36522.749,300
36523.164,600
36526.59,2000
36526.731,200
36533.647,100
36540.004,100
36544.869,1000
36546.578,100
36552.906,300
36556.067,300
36559.806,3000
36579.059,1200
36583.061,300
36596.187,3000
36596.188,900
36600.48,100
36604.255,100
36608.594,100
36611.81,3000
36613.215,300
36613.429,200
36616.935,900
36619.954,500
36628.425,18000
36643.369,300
36647.154,400
36647.514,3000
36649.164,3000
36652.195,1100
36652.562,3000
36656.3,100
36656.302,3000
36668.386,9900
36672.495,400
36677.763,2000
36682.811,100
36684.388,100
36685.089,1000
36685.331,1400
36686.811,2000
36687.865,200
36690.603,3000
36692.04,3000
36694.462,3000
36698.616,3000
36704.882,100
36706.55,300
36707.948,3100
36707.95,3000
36717.014,3100
36732.55,100
36732.806,300
36751.387,100
36751.388,100
36761.554,100
36763.99,300
36767.471,100
36777.778,1000
36787.158,200
36787.642,500
36790.802,22900
36791.806,3000
36791.809,2500
36791.885,1800
36791.886,900
36793.352,1000
36795.191,300
36795.936,3000
36798.319,1000
36805.603,300
36814.23,100
36819.271,1100
36823.271,300
36825.989,100
36858.363,300
36870.579,1000
36872.313,500
36873.653,1500
36875.943,3000
36887.482,300
36916.592,300
36926.73,1000
36927.264,100
36937.466,100
36938.215,100
36947.393,500
36947.792,300
36948.295,1000
36949.79,200
36951.386,100
36951.388,100
36954.964,1100
36954.966,3000
36958.466,100
36977.948,300
36989.285,200
36996.243,1000
37003.425,100
37006.249,100
37006.695,1000
37007.141,100
37009.149,300
37012.19,800
37012.196,700
37012.32,1000
37012.79,500
37013.196,1100
37014.422,1000
37030.509,200
37036.183,300
37037.087,200
37068.415,200
37068.937,1000
37071.897,500
37076.731,100
37077.262,100
37077.625,100
37078.432,100
37093.441,1000
37095.45,300
37101.923,20000
37126.657,300
37129.25,50000
37141.267,1000
37151.386,100
37151.388,100
37159.659,300
37162.524,3000
37166.726,1100
37184.872,200
37204.597,1000
37204.795,100
37215.026,300
37217.784,100
37220.12,200
37240.857,1800
37248.051,300
37272.101,1000
37273.4,20000
37279.237,200
37285.44,3000
37285.535,1100
37286.067,4000
37286.695,600
37286.697,800
37286.77,600
37286.772,900
37290.459,3000
37294.746,11000
37294.748,1100
37296.493,3000
37298.213,3000
37298.752,1000
37299.269,1100
37300.995,10000
37306.272,300
37336.426,300
37366.846,3000
37370.482,200
37375.205,10000
37377.818,100
37377.82,3000
37389.797,1400
37391.707,20000
37395.802,500
37397.521,300
37428.718,300
37429.585,100
37457.057,5700
37459.92,200
37477.317,300
37484.387,100
37487.984,300
37490.205,100
37506.688,100
37514.303,500
37521.009,200
37550.119,200
37551.388,100
37557.611,100
37560.072,100
37579.23,300
37581.741,3000
37599.235,100
37611.478,200
37624.968,400
37638.846,10000
37639.128,1400
37639.394,1000
37641.63,300
37668.665,200
37681.805,1400
37682.505,3000
37682.955,100
37684.387,100
37697.778,200
37705.4,100
37707.47,1000
37727.931,300
37751.386,100
37751.388,100
37753.058,1400
37753.639,3000
37753.805,100
37760.957,200
37792.142,300
37801.687,3000
37802.739,600
37807.685,1000
37810.979,1400
37813.983,1400
37814.194,3000
37817.367,500
37821.64,100
37849.597,500
37870.111,100
37870.564,100
37880.798,400
37885.854,1000
37903.454,200
37910.355,3000
37910.732,1400
37911.456,1000
37911.465,1000
37911.543,1000
37911.757,200
37913.036,400
37920.502,1000
37920.511,1000
37924.344,3000
37927.885,100
37935.835,600
37939.284,400
37951.386,100
37951.388,100
37951.462,1000
37951.68,3000
37953.573,1400
37961.222,3000
37969.443,500
37980.098,100
37981.565,4000
37989.811,100
38003.535,400
38007.936,1000
38018.59,20000
38020.565,1400
38024.682,1800
38029.749,500
38031.229,1800
38033.339,1800
38041.019,100
38052.731,3000
38059.905,400
38064.359,1800
38072.529,100
38072.814,1800
38076.831,1800
38077.484,100
38079.533,3000
38084.387,100
38093.223,300
38093.96,400
38097.928,500
38098.599,1000
38098.794,8000
38100.635,1000
38101.349,100
38107.885,2200
38114.847,300
38119.171,400
38140.918,2200
38142.707,1400
38142.991,200
38150.384,500
38151.388,100
38164.5,1000
38168.367,200
38180.536,400
38197.864,200
38209.534,2200
38209.536,500
38209.557,800
38209.713,200
38211.982,10000
38218.046,200
38224.152,200
38226.2,100
38242.665,300
38249.918,200
38253.296,1000
38267.132,13000
38270.727,500
38276.288,200
38284.387,100
38286.501,500
38286.503,300
38290.934,500
38299.852,500
38314.017,500
38322.956,3000
38322.995,7800
38334.938,300
38339.858,500
38340.906,500
38340.908,3000
38342.166,2200
38342.239,1400
38345.507,100
38345.511,100
38349.041,2200
38349.291,1000
38351.388,100
38362.094,500
38362.498,2200
38362.499,500
38362.601,3000
38368.663,200
38382.173,4000
38390.727,500
38390.728,3000
38391.647,200
38392.13,400
38405.409,800
38415.629,800
38422.284,400
38422.953,100
38425.198,500
38440.518,100
38454.532,400
38454.789,300
38482.595,500
38482.952,1000
38484.386,100
38487.177,100
38487.331,200
38500.17,200
38514.84,300
38542.905,500
38547.197,500
38547.198,2200
38562.004,2200
38575.16,400
38590.225,100
38606.336,400
38614.434,300
38618.388,100
38620.467,3000
38621.822,100
38628.83,1500
38636.491,400
38652.586,500
38655.937,1000
38656.378,7000
38663.565,400
38667.089,100
38667.186,3000
38682.093,100
38684.386,100
38684.388,100
38694.746,500
38695.772,400
38697.572,13000
38724.885,400
38732.515,4000
38737.328,200
38743.847,100
38744.0,100
38744.23,100
38755.391,200
38756.082,400
38768.653,60000
38780.227,5000
38784.058,1000
38784.164,400
38813.283,50000
38813.55,40000
38814.333,400
38824.352,1300
38824.353,6400
38824.354,1800
38824.462,200
38835.242,100
38842.383,500
38848.198,500
38856.201,500
38859.763,1000
38861.2,1400
38861.302,2700
38861.306,500
38870.339,200
38871.017,1000
38871.146,1000
38871.18,200
38871.348,1000
38871.86,100
38872.877,100
38873.315,500
38873.87,100
38877.433,100
38877.484,300
38877.896,100
38882.439,500
38884.788,500
38885.149,500
38888.394,3500
38895.597,5000
38905.565,400
38915.04,2000
38919.694,5000
38924.62,100
38926.279,50000
38933.64,500
38944.486,200
38951.386,100
38964.354,3000
38966.661,300
38968.137,3000
38969.174,100
38971.842,500
38971.951,500
38972.01,2200
38980.56,800
38980.574,700
38980.606,3000
38980.753,800
38980.754,800
38980.755,900
38983.766,500
38987.187,500
